Protein Virus,Protein Người,Protein Chung
,SC5D,FAM135A
,SGTA,USP36
,ELOVL1,ABCD4
,NBEAL1,ACTA1
,SLC2A3,C12orf10
,SLC5A3,RP2
,SLC7A1,RPL32
,SLC19A1,RPS4X
,SLC22A3,SC5D
,SMPD2,SGTA
,TAP2,ELOVL1
,TSPO,NBEAL1
,UGDH,SLC2A3
,TMC7,SLC5A3
,SLC35G2,SLC7A1
,CLPTM1L,SLC19A1
,SLC7A5,SLC22A3
,SLC38A1,SMPD2
,CDCA3,TAP2
,HSDL1,TSPO
,SLC25A11,UGDH
,ANKRD27,TMC7
,SYVN1,SLC35G2
,JAGN1,CLPTM1L
,SLC9A7,SLC7A5
,AIFM2,SLC38A1
,TMEM87B,CDCA3
,ABHD13,HSDL1
,NUDCD1,SLC25A11
,EPT1,ANKRD27
,PPAP2C,SYVN1
,CDS2,JAGN1
,SLC5A6,SLC9A7
,CPNE3,AIFM2
,AP1M1,TMEM87B
,GPRC5A,ABHD13
,LMF2,NUDCD1
,XPR1,EPT1
,SFXN1,PPAP2C
,PSMF1,CDS2
,SLC4A7,SLC5A6
,EI24,CPNE3
,GTPBP1,AP1M1
,RNF14,GPRC5A
,FAM115A,LMF2
,CD151,XPR1
,SPCS2,SFXN1
,PTDSS1,PSMF1
,POM121,SLC4A7
,ZCCHC6,EI24
,AKR1C1,GTPBP1
,ZNF292,RNF14
,AHDC1,FAM115A
,CHD6,CD151
,HIST1H1B,SPCS2
,POM121C,PTDSS1
,ZMYM6NB,POM121
,ALG3,ZCCHC6
,RTN3,AKR1C1
,CHML,ZNF292
,NUS1,AHDC1
,ZFYVE27,CHD6
,LYSMD4,HIST1H1B
,ABCA3,POM121C
,TMCC1,ZMYM6NB
,APOL2,ALG3
,GALNT2,RTN3
,SGMS1,CHML
,ATL3,NUS1
,VPS33B,ZFYVE27
,FAM45A,LYSMD4
,MXRA7,ABCA3
,NBAS,TMCC1
,PREP,APOL2
,PRKCD,GALNT2
,USE1,SGMS1
,PCDHB8,ATL3
,PCDHB6,VPS33B
,S100A10,FAM45A
,CYP4F12,MXRA7
,SSR3,NBAS
,FMNL1,PREP
,TMEM109,PRKCD
,FA2H,USE1
,SCD5,PCDHB8
,RAB33B,PCDHB6
,PLEKHA8,S100A10
,SFT2D3,CYP4F12
,TRIM5,SSR3
,TRPA1,FMNL1
,EBAG9,TMEM109
,PTPLA,FA2H
,ORMDL1,SCD5
,STX8,RAB33B
,PITPNM1,PLEKHA8
,CD47,SFT2D3
,C2CD2L,TRIM5
,MARCH6,TRPA1
,CGRRF1,EBAG9
,AP4S1,PTPLA
,SMYD4,ORMDL1
,TTC14,STX8
,ERN1,PITPNM1
,REEP3,CD47
,TBC1D9B,C2CD2L
,SEC11A,MARCH6
,TMCO4,CGRRF1
,AHCTF1,AP4S1
