BioGRID ID Interactor A,BioGRID ID Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Experimental System
4383856,121372,nsp7,NAT14,Affinity Capture-MS
4383856,122965,nsp7,DCAKD,Affinity Capture-MS
4383856,117691,nsp7,FAM162A,Affinity Capture-MS
4383856,126272,nsp7,DNAJC19,Affinity Capture-MS
4383856,120934,nsp7,VIMP,Affinity Capture-MS
4383856,123135,nsp7,PTGES2,Affinity Capture-MS
4383856,116591,nsp7,RAB18,Affinity Capture-MS
4383857,115494,nsp8,MPHOSPH10,Affinity Capture-MS
4383857,112609,nsp8,SRP72,Affinity Capture-MS
4383857,116282,nsp8,ATE1,Affinity Capture-MS
4383857,113306,nsp8,WHSC1,Affinity Capture-MS
4383857,112606,nsp8,SRP19,Affinity Capture-MS
4383857,112607,nsp8,SRP54,Affinity Capture-MS
4383857,122180,nsp8,MRPS25,Affinity Capture-MS
4383857,108027,nsp8,DDX10,Affinity Capture-MS
4383857,119619,nsp8,LARP7,Affinity Capture-MS
4383857,121122,nsp8,MEPCE,Affinity Capture-MS
4383857,117466,nsp8,NGDN,Affinity Capture-MS
4383857,116468,nsp8,EXOSC8,Affinity Capture-MS
4383857,122846,nsp8,NARS2,Affinity Capture-MS
4383857,123023,nsp8,NOL10,Affinity Capture-MS
4383857,122529,nsp8,CCDC86,Affinity Capture-MS
4383857,119280,nsp8,SEPSECS,Affinity Capture-MS
4383857,121243,nsp8,EXOSC5,Affinity Capture-MS
4383857,119217,nsp8,EXOSC3,Affinity Capture-MS
4383857,117743,nsp8,AATF,Affinity Capture-MS
4383857,117359,nsp8,HECTD1,Affinity Capture-MS
4383857,119304,nsp8,MRPS2,Affinity Capture-MS
4383857,122362,nsp8,MRPS5,Affinity Capture-MS
4383857,116977,nsp8,EXOSC2,Affinity Capture-MS
4383857,116731,nsp8,MRPS27,Affinity Capture-MS
4383858,109218,nsp9,GTF2F2,Affinity Capture-MS
4383858,108494,nsp9,FBN1,Affinity Capture-MS
4383858,108495,nsp9,FBN2,Affinity Capture-MS
4383858,113717,nsp9,NUP214,Affinity Capture-MS
4383858,117165,nsp9,NUP62,Affinity Capture-MS
4383858,115532,nsp9,DCAF7,Affinity Capture-MS
4383858,113297,nsp9,EIF4H,Affinity Capture-MS
4383858,119759,nsp9,NUP54,Affinity Capture-MS
4383858,121593,nsp9,MIB1,Affinity Capture-MS
4383858,116734,nsp9,SPG20,Affinity Capture-MS
